Time,BP,MBP,HR,Event
359.978,104.0967,81.65625,422.1875,
359.979,103.4884,81.48438,422.3438,
359.98,102.8801,81.47656,422.2812,
359.981,102.4668,81.54688,422.8438,
359.982,101.8663,81.67188,422.25,
359.983,101.2893,81.71094,422.6562,
359.984,100.5484,81.53125,422.375,
359.985,99.7998,81.52344,422.5625,
359.986,99.28512,81.59375,422.3125,
359.987,98.58327,81.71875,422.4375,
359.988,97.91262,81.76562,422.1875,
359.989,97.1016,81.57031,423.7188,
359.99,96.30617,81.5625,423.5625,
359.991,95.7369,81.625,423.6562,
359.992,95.03505,81.75781,423.5938,
359.993,94.38,81.78125,423.625,
359.994,93.57677,81.60156,423.6875,
359.995,92.83594,81.57812,423.7188,
359.996,92.33685,81.64844,423.5938,
359.997,91.72858,81.76562,423.5625,
359.998,91.14371,81.8125,423.625,
359.999,90.45746,81.63281,423.6562,
360,89.8102,81.60938,423.625,
360.001,89.45148,81.67188,423.5625,
360.002,88.96019,81.79688,423.5625,
360.003,88.50009,81.82812,423.6562,
360.004,87.89183,81.64062,423.6875,
360.005,87.37714,81.63281,423.6875,
360.006,87.112,81.69531,423.6562,
360.007,86.70649,81.8125,423.625,
360.008,86.36336,81.84375,423.6562,
360.009,85.85648,81.66406,423.625,
360.01,85.41977,81.63281,423.7188,
360.011,85.22482,81.71094,423.6562,
360.012,84.92848,81.82812,423.75,
360.013,84.64774,81.84375,423.6875,
360.014,84.21104,81.65625,423.6562,
360.015,83.82892,81.65625,423.6875,
360.016,83.69635,81.69531,423.6875,
360.017,83.43121,81.82812,423.625,
360.018,83.18946,81.85156,423.6562,
360.019,82.80735,81.67188,423.75,
360.02,82.47202,81.63281,423.6875,
360.021,82.35505,81.71094,423.5625,
360.022,82.1211,81.82812,423.7188,
360.023,81.90275,81.84375,423.6875,
360.024,81.56742,81.66406,423.75,
360.025,81.2321,81.64062,423.625,
360.026,81.14631,81.70312,423.625,
360.027,80.92016,81.82812,423.5625,
360.028,80.7408,81.84375,423.625,
360.029,80.37428,81.67188,423.75,
360.03,80.03116,81.64844,423.625,
360.031,79.94538,81.69531,423.5938,
360.032,79.71923,81.84375,423.6875,
360.033,79.50868,81.84375,423.7188,
360.034,79.14995,81.65625,423.75,
360.035,78.83802,81.63281,423.6562,
360.036,78.73665,81.70312,423.6562,
360.037,78.5105,81.8125,423.5938,
360.038,78.29994,81.82812,423.75,
360.039,77.93342,81.63281,423.75,
360.04,77.60589,81.63281,423.625,
360.041,77.50452,81.69531,423.6875,
360.042,77.29396,81.79688,423.6875,
360.043,77.08341,81.8125,423.6562,
360.044,76.70909,81.625,423.6875,
360.045,76.40496,81.625,423.625,
360.046,76.30358,81.67188,423.7812,
360.047,76.09303,81.78125,423.7188,
360.048,75.88247,81.80469,423.7188,
360.049,75.52375,81.61719,423.6875,
360.05,75.20402,81.59375,423.6562,
360.051,75.11044,81.64062,423.6875,
360.052,74.8765,81.77344,423.75,
360.053,74.68154,81.79688,423.75,
360.054,74.31502,81.58594,423.7188,
360.055,74.01089,81.58594,423.7188,
360.056,73.90171,81.63281,423.6875,
360.057,73.66776,81.76562,423.625,
360.058,73.46501,81.77344,423.6562,
360.059,73.11408,81.57812,423.625,
360.06,72.78656,81.57031,423.5938,
360.061,72.68518,81.61719,423.75,
360.062,72.45903,81.74219,423.6875,
360.063,72.25627,81.74219,423.6562,
360.064,71.89755,81.55469,423.625,
360.065,71.57782,81.53125,423.7188,
360.066,71.50764,81.60156,423.75,
360.067,71.26589,81.69531,423.625,
360.068,71.05534,81.71875,423.7188,
360.069,70.70442,81.54688,423.625,
360.07,70.40028,81.50781,423.6562,
360.071,70.3067,81.57031,423.7188,
360.072,70.10395,81.69531,423.6875,
360.073,69.89339,81.67969,423.5625,
360.074,69.53467,81.49219,423.6875,
360.075,69.23834,81.46875,423.6875,
360.076,69.15256,81.53125,423.625,
360.077,68.9498,81.65625,423.75,
360.078,68.73925,81.66406,423.5938,
360.079,68.38053,81.45312,423.6562,
360.08,68.09199,81.44531,423.5938,
360.081,67.99061,81.50781,423.7188,
360.082,67.81125,81.60156,423.7188,
360.083,67.5851,81.625,423.6562,
360.084,67.22638,81.42969,423.6562,
360.085,66.96904,81.42188,423.6875,
360.086,66.91445,81.46875,423.7188,
360.087,66.79748,81.57812,423.625,
360.088,66.73509,81.59375,423.5938,
360.089,66.64151,81.39062,423.6562,
360.09,66.6883,81.38281,423.7188,
360.091,67.17179,81.42188,423.625,
360.092,67.67868,81.55469,423.6562,
360.093,68.42732,81.53906,423.5938,
360.094,69.20715,81.35938,423.6562,
360.095,70.20533,81.34375,423.6875,
360.096,71.62461,81.39062,423.6875,
360.097,73.02051,81.52344,423.625,
360.098,74.54117,81.53125,423.6875,
360.099,76.03064,81.34375,423.6875,
360.1,77.5669,81.33594,423.7188,
360.101,79.4151,81.38281,423.75,
360.102,81.12292,81.50781,423.7188,
360.103,82.83854,81.50781,423.6875,
360.104,84.41379,81.33594,423.7188,
360.105,85.95006,81.32031,422.2812,
360.106,87.74366,81.39844,416.1875,
360.107,89.31111,81.50781,415.7812,
360.108,90.83178,81.53906,416.2812,
